text	label
malaria 	B-Disease
infection	I-Disease
infection	I-Disease
The	O
factor	O
most	O
strongly	O
associated	O
was	O
history	O
of	O
travel	O
to	O
mainland	O
Equatorial	O
Guinea	O
mEG	O
which	O
increased	O
the	O
odds	O
significantly	O
both	O
in	O
urban	O
and	O
rural	O
settings	O
people	O
who	O
travelled	O
had	O
4	O
times	O
the	O
odds	O
of	O
 malaria	S-Disease
Sleeping	O
under	O
a	O
long	O
lasting	O
insecticidal	O
net	O
decreased	O
significantly	O
the	O
odds	O
of	O
infection	I-Disease
across	O
urban	O
and	O
rural	O
settings	O
and	O
survey	O
years	O
net	O
users	O
had	O
around	O
30	O
less	O
odds	O
of	O
highlighting	O
their	O
contribution	O
to	O
malaria	S-Disease
control	O
on	O
the	O
Island	O
Improved	O
housing	O
conditions	O
indicated	O
some	O
protection	O
though	O
this	O
was	O
not	O
consistent	O
across	O
settings	O
and	O
survey	O
year	O
Malaria	S-Disease
risk	O
on	O
Bioko	O
Island	O
is	O
heterogeneous	O
and	O
determined	O
by	O
a	O
combination	O
of	O
factors	O
interacting	O
with	O
local	B-Organism
mosquito	I-Organism
ecology	O
These	O
interactions	O
grant	O
further	O
investigation	O
in	O
order	O
to	O
better	O
adapt	O
control	O
according	O
to	O
need	O
The	O
single	O
most	O
important	O
risk	O
factor	O
identified	O
was	O
travel	O
to	O
mEG	O
in	O
line	O
with	O
previous	O
investigations	O
and	O
represents	O
a	O
great	O
challenge	O
for	O
the	O
success	O
of	O
malaria	O
control	O
on	O
the	O
Island	O
Malaria 	S-Disease
is	O
a	O
major	O
public	O
health	O
issue	O
with	O
substantial	O
risks	O
among	O
vulnerable	O
populations	O
Currently	O
the	O
World	O
Health	O
Organization	O
WHO	O
recommends	O
Plasmodium	B-Gene
 falciparum 	I-Gene
dihydrofolate reductase	E-Gene
dihydropteroate	B-Gene
 synthetase 	I-Gene
genes	E-Gene
sulfadoxine	B-Chemical_Substance
pyrimethamine 	I-Chemical_Substance
malaria	B-Organism
 parasite	I-Organism
in	O
the	O
second	O
and	O
third	O
trimesters	O
However	O
the	O
efficacy	O
of	O
is	O
threatened	O
by	O
the	O
emergence	O
of	O
resistant	O
due	O
to	O
single	O
nucleotide	O
polymorphisms	O
in	O
the	O
SP	O
IPTp	O
i	O
SP	O
IPTp	O
This	O
study	O
aimed	O
to	O
assess	O
the	O
current	O
prevalence	O
of	O
 Pfdhfr	S-Gene
Pfdhps	S-Gene
mutations	O
in	O
 P. falciparum 	S-Organism
isolates	O
collected	O
from	O
individuals	O
residing	O
in	O
Ile	O
Ife	O
Nigeria	O
and	O
also	O
present	O
maps	O
of	O
the	O
prevalence	O
of	O
Pfdhps 431V	S-Gene
 581G	S-Gene
and	O
within	O
Nigeria	O
and	O
surrounding	O
countries	O
nBetween	O
October	O
2020	O
and	O
April	O
2021	O
samples	O
were	O
collected	O
as	O
dried	O
blood	O
spots	O
among	O
188	O
participants	O
who	O
showed	O
 malaria	S-Organism
positivity	O
with	O
a	O
histidine	B-Protien
rich	I-Protien
-protein	E-Protien
based	O
rapid	O
diagnostic	O
test	O
RDT	O
 falciparum 	S-Organism
Nested	O
PCR	O
assays	O
were	O
used	O
to	O
confirm	O
n	O
the	O
samples	O
with	O
RDT	O
positivity	O
and	O
to	O
amplify	O
fragments	O
of	O
the	O
Pfdhfr/Pfdhps	B-Gene
 genes	I-Gene
followed	O
by	O
targeted	O
amplicon	O
sequencing	O
Published	O
data	O
since	O
2007	O
on	O
the	O
prevalence	O
of	O
the	O
 Pfdhps	B-Gene
 genotypes	I-Gene
in	O
Nigeria	O
and	O
the	O
neighbouring	O
countries	O
were	O
used	O
to	O
produce	O
maps	O
to	O
show	O
the	O
distribution	O
of	O
the	O
mutant	O
genotypes	O
nOnly	O
74	O
and	O
61	O
samples	O
were	O
successfully	O
amplified	O
for	O
the	O
Pfdhfr	S-Gene
and	O
Pfdhps 	B-Gene
genes	I-Gene
respectively	O
At	O
codons	O
resulting	O
in	O
Pfdhps gene 	S-Gene
Pfdhfr 	S-Gene
Pfdhps genes	S-Gene
Pfdhfr	S-Gene
N51I	O
C59R	O
and	O
S108N	O
carried	O
mutant	O
alleles	O
of	O
97	O
3	O
72	O
74	O
97	O
3	O
72	O
74	O
and	O
98	O
6	O
73	O
74	O
respectively	O
The	O
carried	O
mutations	O
at	O
codons	O
resulting	O
in	O
Pfdhfr	S-Gene
 Pfdhps	S-Gene
 ISGKAA	S-Gene
 ISGKGS	S-Gene
 VAGKAA	S-Gene
VAGKAS	S-Gene
 VAGKGS	S-Gene
Pfdhps 431V	S-Gene
 581G	S-Gene
 613S	S-Gene
 Pfdhps	B-Gene
-VAGKGS	I-Gene
haplotype.	E-Gene
 431V/581G	S-Gene
A581G	S-Gene
A613S	S-Gene
51I-59R-108N	S-Gene
amino	O
acid	O
changes	O
at	O
431	O
436	O
437	O
540	O
581	O
613	O
I431V	O
45	O
9	O
28	O
61	O
This	O
study	O
showed	O
that	O
the	O
prevalence	O
of	O
VAGKGS	O
haplotype	O
seems	O
to	O
be	O
increasing	O
in	O
prevalence	O
If	O
this	O
is	O
similar	O
in	O
effect	O
to	O
the	O
emergence	O
of	O
581G	O
in	O
East	O
Africa	O
the	O
efficacy	O
of	O
SP	O
IPTp	O
in	O
the	O
presence	O
of	O
these	O
novel	O
Pfdhps	O
mutants	O
should	O
be	O
re	O
assessed	O
often	O
co	O
occur	O
as	O
mutations	O
was	O
found	O
in	O
the	O
study	O
population	O
It	O
seems	O
quite	O
evident	O
that	O
the	O
Constructed	O
haplotypes	O
were	O
mainly	O
the	O
triple	O
95	O
9	O
and	O
the	O
most	O
common	O
haplotypes	O
observed	O
for	O
the	O
9	O
8	O
and	O
14	O
8	O
mutant	O
31	O
1	O
19	O
61	O
and	O
14	O
8	O
In	O
the	O
context	O
of	O
the	O
previously	O
publishe	O
data	O
a	O
high	O
prevalence	O
o	O
49	O
2	O
30	O
61	O
gene	O
were	O
the	O
32	O
8	O
8	O
2	O
malaria	S-Disease
Immunity	O
to	O
cytokine	S-Protien
pro-inflammatory 	B-Protien
anti-inflammatory	B-Protien
cytokines	I-Protien
RBC	O
lymphocyte	S_Anatomical_Substances
platelet counts,	S_Anatomical_Substances
 falciparum	B-Organism
malaria	I-Organism
 P. falciparum	S-Disease
has	O
a	O
major	O
role	O
in	O
controlling	O
disease	O
and	O
TNFα	S-Protien
 IFNγ	S-Protien
 IL10	S-Protien
TNFα/IL10	S-Protien
TNFα	S-Protien
 IFNγ 	S-Protien
 IL10 	S-Protien
 IL10	S-Protien
 TNFα	S-Protien
pathogenesis	O
with	O
production	O
being	O
involved	O
in	O
almost	O
every	O
phase	O
of	O
the	O
immune	O
response	O
The	O
present	O
study	O
aimed	O
to	O
assess	O
hematological	O
variables	O
and	O
to	O
measure	O
plasm	S_Anatomical_Substances
their	O
ratios	O
and	O
their	O
relation	O
to	O
parasitemia	O
among	O
patients	O
with	O
uncomplicated	O
in	O
Hodeidah	O
Yemen	O
Forty	O
patients	O
with	O
uncomplicated	O
monoinfection	S-Disease
and	O
40	O
healthy	O
age	O
and	O
sex	O
matched	O
controls	O
were	O
enrolled	O
in	O
the	O
study	O
Plasma	B-Chemical_Substance
cytokine	I-Chemical_Substance
Parasitological	O
diagnosis	O
was	O
confirmed	O
and	O
parasite	O
density	O
was	O
estimated	O
levels	O
hematologic	O
parameters	O
and	O
the	O
presence	O
of	O
gametocytes	O
were	O
determined	O
Results	O
revealed	O
highe	O
and	O
in	O
patients	O
than	O
in	O
controls	O
A	O
relatively	O
higher	O
 IL10	S-Protien
IFNγ/IL10 	S-Protien
production	O
was	O
demonstrated	O
by	O
the	O
significantly	O
lowe	O
and	O
ratios	O
in	O
patients	O
than	O
in	O
controls	O
and	O
correlated	O
positively	O
with	O
parasite	O
density	O
Hb	B-Anatomical_Substances
Lower	O
and	O
higher	O
neutrophil	S_Anatomical_Substances
 reticulocyte	S_Anatomical_Substances
counts	O
were	O
observed	O
in	O
patients	O
compared	O
to	O
controls	O
Reticulocyte 	S_Anatomical_Substances
IFNγ	S-Protien
level	O
was	O
lower	O
in	O
the	O
presence	O
of	O
gametocytes	O
Conclusively	O
uncomplicated	O
falciparum	B-Organism
malaria	I-Organism
is	O
associated	O
with	O
the	O
ability	O
to	O
regulate	O
the	O
production	O
of	O
This	O
mediates	O
parasite	O
clearance	O
while	O
simultaneously	O
avoiding	O
severe	O
pathology	O
was	O
higher	O
and	O
Chitinases	S-Chemical_Substance
fungicides 	S-Chemical_Substance
 insecticides	S-Chemical_Substance
 Chitinase	S-Chemical_Substance
 Chitinase	S-Chemical_Substance
malaria	B-Disease
dengue	I-Disease
fever	E-Disease
mosquitoes	S-Organism
Chitinases	S-Chemical_Substance
 chitinases	S-Chemical_Substance
Chitinases	S-Chemical_Substance
pesticides	S-Chemical_Substance
chitooligosaccharides	S-Chemical_Substance
Chitinase	S-Chemical_Substance
 chitinase	S-Chemical_Substance
chitinase i	S-Chemical_Substance
multifunctional	B-Organism
 biocatalysts	I-Organism
chitin	S-Chemical_Substance
for	O
the	O
pest	O
control	O
and	O
useful	O
in	O
modern	O
biotechnology	O
and	O
pharmaceutical	O
industries	O
Chemical	O
have	O
caused	O
more	O
severe	O
effects	O
on	O
environment	O
and	O
human	O
health	O
Many	O
 pathogenic	B-Organism
 fungal	I-Organism
 species	E-Organism
insects	S-Organism
became	O
resistant	O
to	O
the	O
chemical	O
 resistant	B-Organism
fungi	I-Organism
emerged	O
as	O
a	O
multidrug	O
resistant	O
also	O
and	O
less	O
susceptible	O
insects	O
are	O
not	O
possible	O
to	O
control	O
adequately	O
have	O
an	O
immense	O
potential	O
to	O
be	O
exploited	O
as	O
a	O
 biopesticide	S-Chemical_Substance
fungi	S-Organism
 insects	S-Organism
iquid	O
formulation	O
or	O
whole	O
microbial	O
enzyme	O
producing	O
cells	O
both	O
act	O
as	O
antagonistically	O
against	O
the	O
pests	O
s	O
Present	O
review	O
is	O
illustrating	O
the	O
updated	O
information	O
on	O
the	O
state	O
of	O
the	O
art	O
of	O
different	O
in	O
agriculture	O
and	O
biotechnology	O
industry	O
It	O
also	O
bestows	O
the	O
understanding	O
to	O
the	O
readers	O
about	O
the	O
areas	O
of	O
extensively	O
studied	O
and	O
the	O
field	O
where	O
there	O
is	O
still	O
much	O
left	O
to	O
be	O
done	O
is	O
valuable	O
for	O
the	O
synthesis	O
of	O
management	O
of	O
sea	O
food	O
remains	O
like	O
shells	O
of	O
crustaceans	S-Organism
synthesis	O
of	O
pharmaceutically	O
important	O
producing	O
microbes	O
have	O
the	O
huge	O
potential	O
to	O
utilize	O
against	O
the	O
waste	O
lso	O
have	O
been	O
successfully	O
fungi	O
further	O
it	O
act	O
as	O
the	O
biocontrol	O
agent	O
o	O
used	O
in	O
wine	O
and	O
single	O
cell	O
protein	O
producing	O
industries	O
applications	O
of	O
disintegrate	O
the	O
fungal	O
cell	O
wall	O
and	O
insect	O
integument	O
that	O
holds	O
the	O
as	O
a	O
vital	O
structural	O
component	O
Moreove	O
against	O
protoplasts	O
from	O
industrially	O
important	O
is	O
applied	O
for	O
the	O
ausing	O
larvae	O
of	O
 malaria 	S-Disease
 malaria 	S-Disease
single drug	B-Chemical_Substance
primaquine,	I-Chemical_Substance
chemotherapeutics	S-Chemical_Substance
antimalarial	B-Chemical_Substance
 chemotherapeutics	I-Chemical_Substance
Safe	O
and	O
effective	O
transmission	O
blocking	O
would	O
allow	O
a	O
community	O
level	O
approach	O
to	O
ontrol	O
and	O
eradication	O
efforts	O
by	O
targeting	O
the	O
mosquito	S-Organism
exual	O
stage	O
of	O
the	O
parasite	O
life	O
cycle	O
However	O
only	O
a	O
s	O
currently	O
approved	O
for	O
use	O
in	O
reducing	O
transmission	O
and	O
drug	O
toxicity	O
limits	O
its	O
widespread	O
implementation	O
To	O
address	O
this	O
limitation	O
in	O
used	O
a	O
recently	O
developed	O
 transgenic 	B-Organism
Plasmodium 	I-Organism
berghei	E-Organism
line	O
Ookluc	O
to	O
perform	O
a	O
series	O
of	O
high	O
throughput	O
Vector	O
management	O
programs	O
rely	O
on	O
knowledge	O
of	O
the	O
biology	O
and	O
genetic	O
make	O
up	O
of	O
mosquitoes	S-Organism
Anopheles	B-Organism
stephens	I-Organism
is	O
a	O
major	O
invasive	O
urban	O
malaria	O
vector	O
distributed	O
throughout	O
the	O
Indian	O
subcontinent	O
and	O
Middle	O
East	O
and	O
has	O
recently	O
been	O
expanding	O
its	O
range	O
in	O
Africa	O
With	O
the	O
existence	O
of	O
three	O
biological	O
forms	O
distinctly	O
identifiable	O
based	O
on	O
the	O
number	O
of	O
ridges	O
on	O
eggs	O
and	O
varying	O
vectorial	O
competence	O
An	O
stephensi	O
is	O
a	O
perfect	O
species	O
for	O
developing	O
isofemale	O
lines	O
which	O
can	O
be	O
tested	O
for	O
insecticide	O
susceptibility	O
and	O
vectorial	O
competence	O
of	O
various	O
biological	O
forms	O
Anopheles	B-Organism
We	O
describe	O
key	O
steps	O
involved	O
in	O
establishment	O
and	O
validation	O
of	O
isofemale	O
lines	O
Isofemale	O
colonies	O
were	O
further	O
used	O
for	O
the	O
characterization	O
of	O
insecticide	O
susceptibility	O
and	O
differential	O
vector	O
competence	O
The	O
results	O
were	O
statistically	O
evaluated	O
through	O
descriptive	O
and	O
inferential	O
statistics	O
using	O
Vassar	O
Stat	O
and	O
Prism	O
GraphPad	O
software	O
packages	O
nThrough	O
a	O
meticulous	O
selection	O
process	O
we	O
overcame	O
an	O
initial	O
inbreeding	O
depression	O
and	O
found	O
no	O
significant	O
morphometric	O
differences	O
in	O
wings	O
and	O
egg	O
size	O
between	O
the	O
parental	O
and	O
respective	O
isofemale	O
lines	O
in	O
later	O
generations	O
IndCh	O
and	O
IndInt	O
strains	O
showed	O
variations	O
in	O
resistance	O
to	O
different	O
insecticides	O
belonging	O
to	O
all	O
four	O
major	O
classes	O
We	O
observed	O
a	O
significant	O
change	O
in	O
vectorial	O
competence	O
between	O
the	O
respective	O
isofemale	O
and	O
parental	O
lines	O
Isofemale	O
lines	O
can	O
be	O
a	O
valuable	O
resource	O
for	O
characterizing	O
and	O
enhancing	O
several	O
genotypic	O
and	O
phenotypic	O
traits	O
This	O
is	O
the	O
first	O
detailed	O
report	O
of	O
the	O
establishment	O
of	O
two	O
isofemale	O
lines	O
of	O
type	O
and	O
intermediate	O
biological	O
forms	O
in	O
The	O
work	O
encompasses	O
characterization	O
of	O
fitness	O
traits	O
among	O
two	O
lines	O
through	O
a	O
transgenerational	O
study	O
Furthermore	O
isofemale	O
colonies	O
were	O
established	O
and	O
used	O
to	O
characterize	O
insecticide	O
susceptibility	O
and	O
vector	O
competence	O
The	O
study	O
provides	O
valuable	O
insights	O
into	O
differential	O
susceptibility	O
status	O
of	O
the	O
parental	O
and	O
isofemale	O
lines	O
to	O
different	O
insecticides	O
belonging	O
to	O
the	O
same	O
class	O
Corroborating	O
an	O
earlier	O
hypothesis	O
we	O
demonstrate	O
the	O
high	O
vector	O
competence	O
of	O
the	O
type	O
form	O
relative	O
to	O
the	O
intermediate	O
form	O
using	O
homozygous	O
lines	O
Using	O
these	O
lines	O
it	O
is	O
now	O
possible	O
to	O
study	O
host	O
parasite	O
interactions	O
and	O
identify	O
factors	O
that	O
might	O
be	O
responsible	O
for	O
altered	O
susceptibility	O
and	O
increased	O
vector	O
competence	O
in	O
An	O
stephensi	O
biological	O
forms	O
that	O
would	O
also	O
pave	O
the	O
way	O
for	O
developing	O
better	O
vector	O
management	O
strategies	O
stephensi.	I-Organism
mosquitoes	S-Organism
Anopheles	B-Organism
funestus	I-Organism
An. gambiae	S-Organism
malaria 	S-Disease
used	O
in	O
combination	O
with	O
conventional	O
control	O
methods	O
IRS	O
or	O
LLIN	O
These	O
results	O
supported	O
the	O
decision	O
to	O
implement	O
a	O
large	O
scale	O
epidemiological	O
cluster	O
randomized	O
controlled	O
trial	O
of	O
ATSB	O
in	O
Zambia	O
deploying	O
2	O
ATSB	O
stations	O
per	O
eligible	O
structure	O
station	O
Observed	O
feeding	O
rates	O
are	O
in	O
line	O
with	O
those	O
thought	O
to	O
be	O
required	O
for	O
ATSB	O
stations	O
to	O
achieve	O
reductions	O
in	O
vector	O
populations	O
in	O
Western	O
Province	O
Zambia	O
readily	O
fed	O
from	O
the	O
prototype	O
Sarabi	O
v1	O
1	O
1	O
ASB	O
sugar	O
bait	O
transmission	O
when	O
and	O
Anopheles	B-Organism
gambiae	I-Organism
An. funestus 	S-Organism
An. funestus	S-Organism
 Anopheles	B-Organism
arabiensis	I-Organism
Attractive	B-Organism
targeted 	I-Organism
sugar bait	E-Organism
ATSB	S-Organism
 An. funestus	S-Organism
Anopheles	B-Organism
squamosus	I-Organism
An. gambiae 	S-Organism
An. gambiae	S-Organism
 An. funestus	S-Organism
mosquitoes 	S-Organism
Anopheles	B-Organism
 funestus	I-Organism
 ATSB	S-Organism
malaria 	S-Disease
The	O
product	O
evaluated	O
was	O
the	O
Sarabi	O
v1	O
1	O
1	O
ASB	O
station	O
which	O
did	O
not	O
include	O
insecticide	O
but	O
did	O
include	O
0	O
8	O
uranine	O
as	O
a	O
dye	O
allowing	O
for	O
the	O
detection	O
using	O
UV	O
fluorescence	O
light	O
microscopy	O
of	O
mosquitoes	O
that	O
have	O
acquired	O
a	O
sugar	O
meal	O
from	O
the	O
ASB	O
A	O
two	O
phase	O
crossover	O
study	O
design	O
was	O
conducted	O
in	O
10	O
village	O
based	O
clusters	O
in	O
Western	O
Province	O
Zambia	O
One	O
study	O
arm	O
initially	O
received	O
2	O
ASB	O
stations	O
per	O
eligible	O
structure	O
while	O
the	O
other	O
initially	O
received	O
3	O
Primary	O
mosquito	O
sampling	O
occurred	O
via	O
indoor	O
and	O
outdoor	O
CDC	O
Miniature	O
UV	O
Light	O
Trap	O
collection	O
from	O
March	O
01	O
through	O
April	O
09	O
2021	O
Phase	O
1	O
and	O
from	O
April	O
19	O
to	O
May	O
28	O
2021	O
Phase	O
2	O
stations	O
are	O
a	O
promising	O
new	O
approach	O
to	O
vector	O
control	O
that	O
could	O
compliment	O
current	O
tools	O
by	O
xploiting	O
the	O
natural	O
sugar	O
feeding	O
behaviors	O
of	O
Recent	O
proof	O
of	O
concept	O
work	O
with	O
a	O
prototype	O
he	O
dominant	O
vector	O
in	O
the	O
study	O
area	O
is	O
s	O
l	O
which	O
was	O
the	O
most	O
abundant	O
species	O
group	O
collected	O
31	O
of	O
all	O
Anophelines	S-Organism
45	O
038	O
144	O
5550	O
had	O
the	O
highest	O
sporozoite	O
rate	O
3	O
16	O
66	O
positives	O
out	O
of	O
2	O
090	O
tested	O
and	O
accounted	O
for	O
94	O
3	O
66	O
70	O
of	O
all	O
sporozoite	O
from	O
clusters	O
with	O
2	O
or	O
3	O
ASBs	O
per	O
eligible	O
structure	O
Similarly	O
there	O
were	O
no	O
correlations	O
observed	O
between	O
feeding	O
rates	O
and	O
the	O
average	O
number	O
of	O
ASB	O
stations	O
per	O
hectare	O
or	O
with	O
weekly	O
rainfall	O
amounts	O
 mosquitoes	S-Organism
inter	O
cluster	O
range	O
of	O
1	O
0	O
5	O
2	O
Feeding	O
rates	O
were	O
no	O
different	O
among	O
positive	O
for	O
uranine	O
translating	O
into	O
an	O
estimated	O
daily	O
feeding	O
rate	O
of	O
8	O
9	O
7	O
7	O
9	O
9	O
fo	O
specimens	O
further	O
identified	O
to	O
species	O
97	O
2	O
2	O
090	O
2	O
150	O
were	O
in	O
transmission	O
Overall	O
21	O
6	O
9	O
218	O
42	O
587	O
o	O
specimens	O
and	O
10	O
4	O
201	O
1	O
940	O
of	O
inter	O
cluster	O
range	O
of	O
5	O
5	O
to	O
12	O
7	O
and	O
specimens	O
collected	O
wer	O
may	O
play	O
a	O
minor	O
role	O
positive	O
specimens	O
Of	O
those	O
s	O
l	O
96	O
8	O
of	O
which	O
were	O
is	O
a	O
likely	O
secondary	O
vector	O
an	O
sensu	O
stricto	O
s	O
s	O
3	O
9	O
3	O
3	O
4	O
7	O
for	O
collected	O
indoors	O
or	O
outdoor	O
 malaria, 	S-Disease
mosquitoes	S-Organism
humans 	S-Organism
 malaria 	S-Disease
control	O
using	O
GDTs	O
Our	O
ethical	O
analysis	O
shows	O
that	O
this	O
context	O
invokes	O
the	O
principle	O
of	O
self	O
defence	O
which	O
could	O
override	O
the	O
pro	O
tanto	O
concerns	O
that	O
a	O
biocentrist	O
would	O
have	O
against	O
modifying	O
malaria	O
mosquitoes	O
in	O
this	O
way	O
if	O
certain	O
conditions	O
are	O
met	O
At	O
the	O
same	O
time	O
the	O
case	O
study	O
of	O
GDTs	O
underlines	O
the	O
relevance	O
of	O
previously	O
posed	O
questions	O
and	O
criticism	O
regarding	O
the	O
internal	O
consistency	O
of	O
Taylor	O
s	O
egalitarian	O
biocen	O
and	O
non	O
human	O
organisms	O
should	O
be	O
factored	O
into	O
determining	O
this	O
Existing	O
analyses	O
of	O
this	O
matter	O
have	O
thus	O
far	O
generally	O
relied	O
on	O
anthropocentric	O
and	O
zoocentric	O
perspectives	O
and	O
rejected	O
an	O
individualist	O
biocentric	O
outlook	O
in	O
which	O
all	O
living	O
organisms	O
are	O
taken	O
to	O
matter	O
morally	O
for	O
their	O
own	O
sake	O
In	O
this	O
paper	O
we	O
reconsider	O
the	O
implications	O
of	O
taking	O
a	O
biocentric	O
approach	O
and	O
highlight	O
nuances	O
that	O
may	O
not	O
be	O
evident	O
at	O
first	O
glance	O
First	O
we	O
shortly	O
discuss	O
biocentric	O
perspectives	O
in	O
general	O
and	O
then	O
outline	O
Paul	O
Taylor	O
s	O
biocentric	O
theory	O
of	O
respect	O
for	O
nature	O
Second	O
we	O
explore	O
how	O
conflicting	O
claims	O
towards	O
different	O
organisms	O
should	O
be	O
prioritised	O
from	O
this	O
perspective	O
and	O
subsequently	O
apply	O
this	O
to	O
the	O
context	O
of	O
Gene	O
drive	O
technologies	O
GDTs	O
have	O
been	O
proposed	O
as	O
a	O
potential	O
new	O
way	O
to	O
alleviate	O
the	O
burden	O
of	O
questions	O
A	O
central	O
ethical	O
question	O
regarding	O
GDTs	O
relates	O
to	O
whether	O
it	O
is	O
morally	O
permissible	O
to	O
intentionally	O
modify	O
or	O
eradicate	O
yet	O
have	O
also	O
raised	O
ethical	O
this	O
way	O
and	O
how	O
the	O
inherent	O
worth	O
o	O
trism	O
Urothelial 	B-Disease
carcinoma	I-Disease
UC	S-Disease
may	O
arise	O
from	O
the	O
of	O
the	O
upper	O
tract	O
and	O
the	O
bladder	O
 Cisplatin	S-Chemical_Substance
urothelium	O
based	O
therapy	O
remains	O
the	O
gold	O
standard	O
for	O
UC	O
treatment	O
The	O
poor	O
5	O
year	O
survival	O
rate	O
of	O
UC	O
patients	O
creates	O
an	O
urgent	O
need	O
to	O
develop	O
new	O
drugs	O
for	O
advanced	O
UC	O
therapy	O
malaria	S-Disease
Artesunate	O
ART	O
a	O
traditional	O
Chinese	O
medicine	O
for	O
treating	O
is	O
a	O
potential	O
anticancer	O
agent	O
but	O
its	O
antigrowth	O
effects	O
on	O
upper	O
tract	O
and	O
bladder	O
UC	O
have	O
not	O
been	O
investigated	O
cisplatin	S-Chemical_Substance
urothelial	B-Anatomical_Substances
carcinoma 	I-Anatomical_Substances
 cells]	E-Anatomical_Substances
CCK	O
8	O
assay	O
Flow	O
cytometric	O
analysis	O
was	O
used	O
to	O
evaluate	O
the	O
cell	O
cycle	O
distribution	O
and	O
apoptosis	O
The	O
cell	O
cycle	O
apoptosis	O
and	O
autophagy	O
related	O
protein	O
expression	O
were	O
analyzed	O
by	O
western	O
blotting	O
The	O
efficacy	O
of	O
combination	O
treatment	O
with	O
cisplatin	O
was	O
determined	O
by	O
the	O
Calcusyn	O
software	O
The	O
antigrowth	O
effect	O
of	O
ART	O
in	O
HT	O
1376	O
bladder	O
UC	O
cells	O
and	O
BFTC	O
909	O
upper	O
tract	O
UTUC	O
was	O
determined	O
by	O
the	O
ART	O
induced	O
HT	O
1376	O
and	O
BFTC	O
909	O
cell	O
death	O
in	O
a	O
concentration	O
and	O
time	O
dependent	O
manner	O
inducing	O
G	O
nART	O
may	O
be	O
a	O
candidate	O
drug	O
for	O
treating	O
UTUC	O
and	O
bladder	O
UC	O
while	O
increasing	O
the	O
therapeutic	O
effect	O
of	O
f self-peptide-MHC-I/TCR (SMT	S-Chemical_Substance
interaction	O
in	O
the	O
survival	O
of	O
CD8	O
The	O
significance	O
o	O
 prolyl	B-Protien
tRNA	I-Protien
synthetase 	E-Protien
febrifugine	S-Chemical_Substance
halofuginone	S-Chemical_Substance
apicomplexan parasites 	B-Organism
Plasmodium	I-Organism
falciparum	E-Organism
Toxoplasma	I-Organism
gondii	B-Organism
PRS	O
is	O
a	O
validated	O
drug	O
target	O
for	O
and	O
its	O
synthetic	O
analog	O
HFG	O
against	O
multiple	O
ncluding	O
and	O
Here	O
a	O
nove	O
Toxoplasma	B-Organism
 gondii 	I-Organism
toxoplasma	B-Organism
 parasites.	I-Organism
T. gondii parasites	S-Organism
 human 	S-Organism
Cell	O
based	O
chemical	O
mutagenesis	O
was	O
employed	O
to	O
determine	O
